-----------------------------------------------------
|Tracker name| Success | Norm Precision | Precision |
-----------------------------------------------------
|   TransT   |  0.695  |     0.000      |   0.899   |
| SiamRPN++  |  0.687  |     0.000      |   0.891   |
|   Ocean    |  0.684  |     0.000      |   0.920   |
| LightTrack |  0.654  |     0.000      |   0.856   |
|   SiamFC   |  0.583  |     0.000      |   0.783   |
-----------------------------------------------------


OTB2015
-------------------------------------------------------------------------------------------------------------------------------------
|    Tracker name     |     LightTrack      |      SiamRPN++      |       TransT        |       SiamFC        |        Ocean        |
-------------------------------------------------------------------------------------------------------------------------------------
|     Video name      | success | precision | success | precision | success | precision | success | precision | success | precision |
|     Skating2-2      |  0.597  |   0.618   |  0.450  |   0.447   |  0.604  |   0.622   |  0.522  |   0.532   |  0.562  |   0.566   |
|       Skiing        |  0.500  |   0.931   |  0.607  |   0.927   |  0.612  |   0.907   |  0.257  |   0.387   |  0.544  |   0.915   |
|       Soccer        |  0.202  |   0.279   |  0.189  |   0.277   |  0.409  |   0.517   |  0.157  |   0.177   |  0.349  |   0.457   |
|       Subway        |  0.292  |   0.426   |  0.785  |   0.945   |  0.793  |   0.956   |  0.770  |   0.940   |  0.708  |   0.920   |
|       Surfer        |  0.550  |   0.650   |  0.704  |   0.919   |  0.735  |   0.930   |  0.616  |   0.883   |  0.703  |   0.935   |
|         Suv         |  0.658  |   0.850   |  0.649  |   0.802   |  0.728  |   0.863   |  0.495  |   0.621   |  0.700  |   0.885   |
|      Sylvester      |  0.701  |   0.869   |  0.759  |   0.907   |  0.761  |   0.898   |  0.685  |   0.840   |  0.751  |   0.896   |
|       Tiger1        |  0.551  |   0.728   |  0.583  |   0.706   |  0.597  |   0.710   |  0.571  |   0.634   |  0.722  |   0.802   |
|       Tiger2        |  0.588  |   0.711   |  0.642  |   0.732   |  0.646  |   0.766   |  0.545  |   0.626   |  0.693  |   0.795   |
|         Toy         |  0.735  |   0.861   |  0.638  |   0.842   |  0.721  |   0.826   |  0.466  |   0.695   |  0.658  |   0.796   |
|        Trans        |  0.805  |   0.785   |  0.675  |   0.654   |  0.724  |   0.611   |  0.563  |   0.387   |  0.773  |   0.720   |
|       Trellis       |  0.728  |   0.913   |  0.742  |   0.906   |  0.507  |   0.909   |  0.571  |   0.690   |  0.665  |   0.898   |
|      Twinnings      |  0.731  |   0.940   |  0.719  |   0.935   |  0.838  |   0.949   |  0.569  |   0.751   |  0.710  |   0.932   |
|        Vase         |  0.684  |   0.763   |  0.569  |   0.702   |  0.701  |   0.747   |  0.593  |   0.758   |  0.644  |   0.767   |
|       Walking       |  0.725  |   0.927   |  0.719  |   0.944   |  0.772  |   0.954   |  0.736  |   0.956   |  0.675  |   0.907   |
|      Walking2       |  0.308  |   0.384   |  0.380  |   0.513   |  0.797  |   0.947   |  0.311  |   0.362   |  0.268  |   0.363   |
|        Woman        |  0.652  |   0.882   |  0.616  |   0.908   |  0.606  |   0.887   |  0.545  |   0.872   |  0.620  |   0.873   |
-------------------------------------------------------------------------------------------------------------------------------------

